source_name,source_prefecture,source_municipality,result_status,matched_name,matched_prefecture,matched_municipality,address,lat,lon,source_url,notes
札幌ステラブレイス、大丸札幌店,北海道,札幌市中央区,found,札幌ステラプレイス、大丸札幌店,北海道,札幌市中央区,北海道札幌市中央区北5条西2丁目,43.067903,141.352832,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E3%82%B9%E3%83%86%E3%83%A9%E3%83%96%E3%83%AC%E3%82%A4%E3%82%B9%E3%80%81%E5%A4%A7%E4%B8%B8%E6%9C%AD%E5%B9%8C%E5%BA%97,CSV自治体とGoogle Maps名称検索結果が一致。OCRのブレイスはプレイスに補正
イーアスつくば,茨城県,つくば市,found,イーアスつくば,茨城県,つくば市,茨城県つくば市研究学園5丁目19,36.08458,140.083053,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%BC%E3%82%A2%E3%82%B9%E3%81%A4%E3%81%8F%E3%81%B0,CSV自治体とGoogle Maps名称検索結果が一致
JR博多シティ(アミュプラザ博多、博多阪急),愛媛県,西条市,pending_municipality_mismatch,JR博多シティ,福岡県,福岡市博多区,福岡県福岡市博多区博多駅中央街1-1,,,https://www.google.com/maps/search/?api=1&query=JR%E5%8D%9A%E5%A4%9A%E3%82%B7%E3%83%86%E3%82%A3%28%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E5%8D%9A%E5%A4%9A%E3%80%81%E5%8D%9A%E5%A4%9A%E9%98%AA%E6%80%A5%29,Google Maps名称検索では福岡県福岡市博多区。CSV自治体と不一致のため高速手順では保留
三井ショッピングバーク ラゾーナ川崎プラザ,神奈川県,川崎市幸区,found,三井ショッピングパーク ラゾーナ川崎プラザ,神奈川県,川崎市幸区,神奈川県川崎市幸区堀川町72-1,35.5332327,139.6959084,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E4%BA%95%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%90%E3%83%BC%E3%82%AF+%E3%83%A9%E3%82%BE%E3%83%BC%E3%83%8A%E5%B7%9D%E5%B4%8E%E3%83%97%E3%83%A9%E3%82%B6,CSV自治体とGoogle Maps名称検索結果が一致。バークはパークに補正
三井ショッピングバーク ららぽーと富士見,埼玉県,富士見市,found,三井ショッピングパーク ららぽーと富士見,埼玉県,富士見市,埼玉県富士見市山室1-1313,35.8599309,139.5481996,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E4%BA%95%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%90%E3%83%BC%E3%82%AF+%E3%82%89%E3%82%89%E3%81%BD%E3%83%BC%E3%81%A8%E5%AF%8C%E5%A3%AB%E8%A6%8B,CSV自治体とGoogle Maps名称検索結果が一致。バークはパークに補正
イオンモール太田,群馬県,太田市,found,イオンモール太田,群馬県,太田市,群馬県太田市石原町81,36.2936686,139.3998885,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E5%A4%AA%E7%94%B0,CSV自治体とGoogle Maps名称検索結果が一致
イオンモール東浦,愛知県,知多郡東浦町,found,イオンモール東浦,愛知県,知多郡東浦町,愛知県知多郡東浦町緒川旭13-2,34.977685,136.968525,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E6%9D%B1%E6%B5%A6,CSV自治体とGoogle Maps名称検索結果が一致
イオンモール名古屋茶屋,静岡県,静岡市葵区,pending_municipality_mismatch,イオンモール名古屋茶屋,愛知県,名古屋市港区,愛知県名古屋市港区西茶屋2丁目11,,,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E5%90%8D%E5%8F%A4%E5%B1%8B%E8%8C%B6%E5%B1%8B,Google Maps名称検索では愛知県名古屋市港区。CSV自治体と不一致のため高速手順では保留
AQA 広島センター街(アクア広島センター街)、 そごう広島店,広島県,広島市中区,found,AQA広島センター街(アクア広島センター街)、そごう広島店,広島県,広島市中区,広島県広島市中区基町6-27,34.3958726,132.4570943,https://www.google.com/maps/search/?api=1&query=AQA+%E5%BA%83%E5%B3%B6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E8%A1%97%28%E3%82%A2%E3%82%AF%E3%82%A2%E5%BA%83%E5%B3%B6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E8%A1%97%29%E3%80%81+%E3%81%9D%E3%81%94%E3%81%86%E5%BA%83%E5%B3%B6%E5%BA%97,CSV自治体とGoogle Maps名称検索結果が一致
TAKASHIMAYA TIMES SQUARE,東京都,渋谷区,found,TAKASHIMAYA TIMES SQUARE,東京都,渋谷区,東京都渋谷区千駄ヶ谷5丁目24-2,35.6875164,139.7023589,https://www.google.com/maps/search/?api=1&query=TAKASHIMAYA+TIMES+SQUARE,CSV自治体とGoogle Maps名称検索結果が一致
