match_key,name,prefecture,municipality,address,lat,lon,source_url,source_type,confidence,verified_at,notes
,オアシスタウン吹田SST,大阪府,吹田市,"オアシスタウン吹田SST, 1, 岸部中千里丘線, 岸部中五丁目, 吹田市, 大阪府, 564-0002, 日本",34.7833576,135.5381969,https://nominatim.openstreetmap.org/search?q=%E3%82%AA%E3%82%A2%E3%82%B7%E3%82%B9%E3%82%BF%E3%82%A6%E3%83%B3%E5%90%B9%E7%94%B0SST+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E5%90%B9%E7%94%B0%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,カナートモール和泉府中,大阪府,泉大津市,"カナートモール和泉府中, 第二阪和国道, 要池住宅, 泉大津市, 大阪府, 595-0021, 日本",34.4916954,135.4239266,https://nominatim.openstreetmap.org/search?q=%E3%82%AB%E3%83%8A%E3%83%BC%E3%83%88%E3%83%A2%E3%83%BC%E3%83%AB%E5%92%8C%E6%B3%89%E5%BA%9C%E4%B8%AD+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E6%B3%89%E5%A4%A7%E6%B4%A5%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,アルザタウン泉大津,大阪府,泉大津市,"アルザタウン泉大津, 1, 旭町, 泉大津市, 大阪府, 595-0025, 日本",34.5026450,135.4075158,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%83%AB%E3%82%B6%E3%82%BF%E3%82%A6%E3%83%B3%E6%B3%89%E5%A4%A7%E6%B4%A5+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E6%B3%89%E5%A4%A7%E6%B4%A5%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,いずみおおつCITY,大阪府,泉大津市,"いずみおおつCITY, 3, 旭町, 泉大津市, 大阪府, 595-0025, 日本",34.5021057,135.4063062,https://nominatim.openstreetmap.org/search?q=%E3%81%84%E3%81%9A%E3%81%BF%E3%81%8A%E3%81%8A%E3%81%A4CITY+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E6%B3%89%E5%A4%A7%E6%B4%A5%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,アクトアモーレ,大阪府,高槻市,"アクトアモーレ, 高槻停車場線, 芥川町一丁目, 高槻市, 大阪府, 569-0804, 日本",34.8519298,135.6163877,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%82%AF%E3%83%88%E3%82%A2%E3%83%A2%E3%83%BC%E3%83%AC+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E9%AB%98%E6%A7%BB%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,イオンタウン守口,大阪府,守口市,"イオンタウン守口, 守口市, 大阪府, 日本",34.7377209,135.5640272,https://nominatim.openstreetmap.org/search?q=%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BF%E3%82%A6%E3%83%B3%E5%AE%88%E5%8F%A3+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E5%AE%88%E5%8F%A3%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,アル・プラザ枚方,大阪府,枚方市,"アル・プラザ枚方, 国道307号, 津田北町三丁目, 枚方市, 大阪府, 573-0199, 日本",34.8081690,135.7020141,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%83%AB%E3%83%BB%E3%83%97%E3%83%A9%E3%82%B6%E6%9E%9A%E6%96%B9+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E6%9E%9A%E6%96%B9%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,ニトリモール枚方,大阪府,枚方市,"ニトリモール枚方, 枚方市, 大阪府, 573-0171, 日本",34.8381180,135.6972988,https://nominatim.openstreetmap.org/search?q=%E3%83%8B%E3%83%88%E3%83%AA%E3%83%A2%E3%83%BC%E3%83%AB%E6%9E%9A%E6%96%B9+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E6%9E%9A%E6%96%B9%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,イオンスタイル新茨木,大阪府,茨木市,"イオンスタイル新茨木, 東西通り, 園田町, 茨木市, 大阪府, 567-0825, 日本",34.8153805,135.5800648,https://nominatim.openstreetmap.org/search?q=%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%E6%96%B0%E8%8C%A8%E6%9C%A8+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E8%8C%A8%E6%9C%A8%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
,アル・プラザ茨木,大阪府,茨木市,"アル・プラザ茨木, 余野茨木線, 中河原町, 茨木市, 大阪府, 567-0062, 日本",34.8381772,135.5558203,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%83%AB%E3%83%BB%E3%83%97%E3%83%A9%E3%82%B6%E8%8C%A8%E6%9C%A8+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E8%8C%A8%E6%9C%A8%E5%B8%82&format=jsonv2&limit=3&addressdetails=1&countrycodes=jp,osm_nominatim,medium,2026-07-16,osm_candidate_facility_name_match
