source_prefecture,source_municipality,source_district,source_name,corrected_prefecture,corrected_municipality,notes
北海道,音史町,,,北海道,河東郡音更町,PDF OCR typo for 音更町
京都府,加 古川市,,,兵庫県,加古川市,PDF OCR spacing and carried prefecture
石川県,目士河口湖町,,,山梨県,南都留郡富士河口湖町,PDF OCR typo for 富士河口湖町
岐阜県,営士宮市,,,静岡県,富士宮市,PDF OCR typo for 富士宮市
三重県,烏羽市,,,三重県,鳥羽市,PDF OCR typo for 鳥羽市
岩手県,塩遯市,,,宮城県,塩竈市,PDF OCR typo for 塩竈市 and carried prefecture
茨城県,天堂市,,,山形県,天童市,PDF OCR typo for 天童市 and carried prefecture
栃木県,鴻栄市,,,埼玉県,鴻巣市,PDF OCR typo for 鴻巣市 and carried prefecture
三重県,常道市,,,愛知県,常滑市,PDF OCR typo for 常滑市 and carried prefecture
岐阜県,街殿場市,,,静岡県,御殿場市,PDF OCR typo for 御殿場市
栃木県,,北区,,埼玉県,さいたま市北区,PDF carried prefecture for Saitama ward
栃木県,,大宮区,,埼玉県,さいたま市大宮区,PDF carried prefecture for Saitama ward
栃木県,,見沼区,,埼玉県,さいたま市見沼区,PDF carried prefecture for Saitama ward
栃木県,,中央区,,埼玉県,さいたま市中央区,PDF carried prefecture for Saitama ward
栃木県,,浦和区,,埼玉県,さいたま市浦和区,PDF carried prefecture for Saitama ward
栃木県,,南区,,埼玉県,さいたま市南区,PDF carried prefecture for Saitama ward
栃木県,,緑区,,埼玉県,さいたま市緑区,PDF carried prefecture for Saitama ward
栃木県,,岩槻区,,埼玉県,さいたま市岩槻区,PDF carried prefecture for Saitama ward
京都府,,住之江区,,大阪府,大阪市住之江区,PDF carried prefecture for Osaka ward
京都府,,城東区,,大阪府,大阪市城東区,PDF carried prefecture for Osaka ward
京都府,,阿倍野区,,大阪府,大阪市阿倍野区,PDF carried prefecture for Osaka ward
京都府,,港区,,大阪府,大阪市港区,PDF carried prefecture for Osaka ward
京都府,,浪速区,,大阪府,大阪市浪速区,PDF carried prefecture for Osaka ward
京都府,,天王寺区,,大阪府,大阪市天王寺区,PDF carried prefecture for Osaka ward
京都府,,東淀川区,,大阪府,大阪市東淀川区,PDF carried prefecture for Osaka ward
京都府,,福烏区,,大阪府,大阪市福島区,PDF OCR typo for 福島区 and carried prefecture
京都府,,平野区,,大阪府,大阪市平野区,PDF carried prefecture for Osaka ward
京都府,,西淀川区,,大阪府,大阪市西淀川区,PDF carried prefecture for Osaka ward
京都府,,西区,,大阪府,大阪市西区,PDF carried prefecture for Osaka ward
京都府,,鷭見区,,大阪府,大阪市鶴見区,PDF OCR typo for 鶴見区 and carried prefecture
京都府,,此花区,,大阪府,大阪市此花区,PDF carried prefecture for Osaka ward
京都府,,淀川区,,大阪府,大阪市淀川区,PDF carried prefecture for Osaka ward
京都府,,北区,,大阪府,大阪市北区,PDF carried prefecture for Osaka ward
京都府,,大正区,,大阪府,大阪市大正区,PDF carried prefecture for Osaka ward
京都府,,北区,イオンモール北大路,京都府,京都市北区,Facility-name alias overrides generic Osaka 北区 alias
佐賀県,,西区,,福岡県,福岡市西区,PDF carried prefecture for Fukuoka ward
佐賀県,,南区,,福岡県,福岡市南区,PDF carried prefecture for Fukuoka ward
山口県,,南区,,広島県,広島市南区,PDF carried prefecture for Hiroshima ward
山口県,,安佐南区,,広島県,広島市安佐南区,PDF carried prefecture for Hiroshima ward
山口県,,安佐北区,,広島県,広島市安佐北区,PDF carried prefecture for Hiroshima ward
山口県,,佐伯区,,広島県,広島市佐伯区,PDF carried prefecture for Hiroshima ward
山口県,,西区,,広島県,広島市西区,PDF carried prefecture for Hiroshima ward
山口県,,東区,,広島県,広島市東区,PDF carried prefecture for Hiroshima ward
宮崎県,,西区,,熊本県,熊本市西区,PDF carried prefecture for Kumamoto ward
宮崎県,,東区,,熊本県,熊本市東区,PDF carried prefecture for Kumamoto ward
福岡県,,八幅西区,,福岡県,北九州市八幡西区,PDF OCR typo for 八幡西区
岐阜県,,浜名区,,静岡県,浜松市浜名区,PDF carried prefecture for Hamamatsu ward
京都府,=中市,,,大阪府,豊中市,PDF OCR typo for 豊中市 and carried prefecture
京都府,家南市,,,大阪府,泉南市,PDF OCR typo for 泉南市 and carried prefecture
京都府,終井寺市,,,大阪府,藤井寺市,PDF OCR typo for 藤井寺市 and carried prefecture
富山県,敦鷲市,,,福井県,敦賀市,PDF OCR typo for 敦賀市 and carried prefecture
岐阜県,総田市,,,静岡県,磐田市,PDF OCR typo for 磐田市
岐阜県,清水町,,,静岡県,駿東郡清水町,PDF carried prefecture for 清水町
三重県,全山市,,,三重県,亀山市,PDF OCR typo for 亀山市
山口県,松前町,,,愛媛県,伊予郡松前町,PDF carried prefecture for 松前町
島根県,湖田市,,,島根県,浜田市,PDF OCR typo for 浜田市
茨城県,鹿崎市,,,茨城県,鹿嶋市,PDF OCR typo for 鹿嶋市
茨城県,森岡市,,,群馬県,藤岡市,PDF OCR typo for 藤岡市 and carried prefecture
茨城県,吉町町,,,群馬県,北群馬郡吉岡町,PDF OCR typo for 吉岡町 and carried prefecture
栃木県,三ン市,,,埼玉県,三郷市,PDF OCR typo for 三郷市 and carried prefecture
