source_page,source_column,source_store_area_sqm,source_open_year,source_open_month,corrected_name,corrected_prefecture,corrected_municipality,corrected_open_year,corrected_open_month,address,notes
10,right,8450,1991,4,原信マーケットシティ村上,新潟県,村上市,,,新潟県村上市上助渕1010-1,user_verified_address
11,left,5791,1999,11,ナッピィモール,石川県,七尾市,,,石川県七尾市藤野町38,user_verified_address
11,left,4865,2008,3,ベイモール七尾,石川県,七尾市,,,石川県七尾市小島町大開地1-78,user_verified_address
14,left,8245,1974,12,ヨシヅヤ甚目寺店,愛知県,あま市,,,愛知県あま市甚目寺五位田128,user_verified_address
1,left,85000,2003,3,札幌ステラプレイス、大丸札幌店,北海道,札幌市中央区,,,北海道札幌市中央区北5条西2丁目,google_maps_sample_name_prefecture_municipality_match
9,right,78000,2006,9,三井ショッピングパーク ラゾーナ川崎プラザ,神奈川県,川崎市幸区,,,神奈川県川崎市幸区堀川町72-1,google_maps_sample_name_prefecture_municipality_match
5,right,77000,2015,4,三井ショッピングパーク ららぽーと富士見,埼玉県,富士見市,,,埼玉県富士見市山室1-1313,google_maps_sample_name_prefecture_municipality_match
19,left,74957,1974,10,AQA広島センター街(アクア広島センター街)、そごう広島店,広島県,広島市中区,,,広島県広島市中区基町6-27,google_maps_sample_name_prefecture_municipality_match
7,right,73597,1996,10,TAKASHIMAYA TIMES SQUARE,東京都,渋谷区,,,東京都渋谷区千駄ヶ谷5丁目24-2,google_maps_sample_name_prefecture_municipality_match
18,right,225510,2005,3,スーパーセンターオークワ南紀店,和歌山県,新宮市,,,和歌山県新宮市佐野3丁目11-19,google_maps_preferred_name_match
6,left,166400,1981,4,三井ショッピングパーク ららぽーとTOKYO-BAY,千葉県,船橋市,,,千葉県船橋市浜町2-1-1,google_maps_preferred_name_match
18,left,128000,2004,4,イオンモール橿原,奈良県,橿原市,,,奈良県橿原市曲川町7丁目20-1,google_maps_preferred_partial_name_match|corrected_from_ocr
13,left,127000,2017,4,JRセントラルタワーズ/JRゲートタワー,愛知県,名古屋市中村区,,,愛知県名古屋市中村区名駅1丁目1-4,google_maps_preferred_name_match|prefecture_municipality_corrected
16,left,115694,1978,11,なんばCITY,大阪府,大阪市中央区,,,大阪府大阪市中央区難波5丁目1-60,google_maps_preferred_name_match|prefecture_municipality_corrected
13,left,101000,2009,4,mozo ワンダーシティ(モゾワンダーシティ),愛知県,名古屋市西区,,,愛知県名古屋市西区二方町40,google_maps_preferred_name_match|prefecture_municipality_corrected
