origin_station,destination_station,travel_time_minutes,transfer_count,is_direct,source,source_year
東京,東京,0,0,1,manual,2026
東京,新宿,14,0,1,manual,2026
東京,渋谷,18,0,1,manual,2026
東京,横浜,27,0,1,manual,2026
新宿,東京,14,0,1,manual,2026
新宿,新宿,0,0,1,manual,2026
新宿,渋谷,5,0,1,manual,2026
新宿,横浜,31,0,1,manual,2026
渋谷,東京,18,0,1,manual,2026
渋谷,新宿,5,0,1,manual,2026
渋谷,渋谷,0,0,1,manual,2026
渋谷,横浜,27,0,1,manual,2026
品川,東京,8,0,1,manual,2026
品川,新宿,19,0,1,manual,2026
品川,渋谷,13,0,1,manual,2026
品川,横浜,17,0,1,manual,2026
池袋,東京,24,0,1,manual,2026
池袋,新宿,6,0,1,manual,2026
池袋,渋谷,11,0,1,manual,2026
池袋,横浜,38,0,1,manual,2026
上野,東京,5,0,1,manual,2026
上野,新宿,24,0,1,manual,2026
上野,渋谷,28,0,1,manual,2026
上野,横浜,37,0,1,manual,2026
横浜,東京,27,0,1,manual,2026
横浜,新宿,31,0,1,manual,2026
横浜,渋谷,27,0,1,manual,2026
横浜,横浜,0,0,1,manual,2026
大宮,東京,31,0,1,manual,2026
大宮,新宿,34,0,1,manual,2026
大宮,渋谷,39,0,1,manual,2026
大宮,横浜,63,0,1,manual,2026
千葉,東京,40,0,1,manual,2026
千葉,新宿,58,0,1,manual,2026
千葉,渋谷,63,1,0,manual,2026
千葉,横浜,70,1,0,manual,2026
船橋,東京,25,0,1,manual,2026
船橋,新宿,44,0,1,manual,2026
船橋,渋谷,49,1,0,manual,2026
船橋,横浜,56,1,0,manual,2026
川崎,東京,18,0,1,manual,2026
川崎,新宿,34,1,0,manual,2026
川崎,渋谷,30,1,0,manual,2026
川崎,横浜,8,0,1,manual,2026
柏,東京,36,0,1,manual,2026
柏,新宿,50,1,0,manual,2026
柏,渋谷,56,1,0,manual,2026
柏,横浜,67,1,0,manual,2026
